,n_missing,pct_missing
Pool QC,2917,99.56
Misc Feature,2824,96.38
Alley,2732,93.24
Fence,2358,80.48
Mas Vnr Type,1775,60.58
Fireplace Qu,1422,48.53
Lot Frontage,490,16.72
Garage Cond,159,5.43
Garage Qual,159,5.43
Garage Finish,159,5.43
Garage Yr Blt,159,5.43
Garage Type,157,5.36
Bsmt Exposure,83,2.83
BsmtFin Type 2,81,2.76
Bsmt Cond,80,2.73
Bsmt Qual,80,2.73
BsmtFin Type 1,80,2.73
Mas Vnr Area,23,0.78
Bsmt Half Bath,2,0.07
Bsmt Full Bath,2,0.07
BsmtFin SF 1,1,0.03
Garage Cars,1,0.03
Garage Area,1,0.03
Total Bsmt SF,1,0.03
Bsmt Unf SF,1,0.03
BsmtFin SF 2,1,0.03
Electrical,1,0.03
