,count,mean,std,min,25%,50%,75%,max
Order,2930.0,1465.5,845.9624696167082,1.0,733.25,1465.5,2197.75,2930.0
PID,2930.0,714464496.9887372,188730844.6493901,526301100.0,528477022.5,535453620.0,907181097.5,1007100110.0
MS SubClass,2930.0,57.38737201365188,42.6380245538023,20.0,20.0,50.0,70.0,190.0
Lot Frontage,2440.0,69.22459016393442,23.36533497450349,21.0,58.0,68.0,80.0,313.0
Lot Area,2930.0,10147.921843003413,7880.017759439081,1300.0,7440.25,9436.5,11555.25,215245.0
Overall Qual,2930.0,6.0948805460750854,1.4110260835519737,1.0,5.0,6.0,7.0,10.0
Overall Cond,2930.0,5.563139931740614,1.1115365600303484,1.0,5.0,5.0,6.0,9.0
Year Built,2930.0,1971.3563139931741,30.2453606293748,1872.0,1954.0,1973.0,2001.0,2010.0
Year Remod/Add,2930.0,1984.266552901024,20.860285876849332,1950.0,1965.0,1993.0,2004.0,2010.0
Mas Vnr Area,2907.0,101.8968008255934,179.11261057727816,0.0,0.0,0.0,164.0,1600.0
BsmtFin SF 1,2929.0,442.6295664049164,455.59083909115316,0.0,0.0,370.0,734.0,5644.0
BsmtFin SF 2,2929.0,49.72243086377603,169.16847559158384,0.0,0.0,0.0,0.0,1526.0
Bsmt Unf SF,2929.0,559.2625469443497,439.4941528039241,0.0,219.0,466.0,802.0,2336.0
Total Bsmt SF,2929.0,1051.6145442130419,440.61506696179663,0.0,793.0,990.0,1302.0,6110.0
1st Flr SF,2930.0,1159.5576791808874,391.89088525349155,334.0,876.25,1084.0,1384.0,5095.0
2nd Flr SF,2930.0,335.45597269624574,428.39571500881726,0.0,0.0,0.0,703.75,2065.0
Low Qual Fin SF,2930.0,4.67679180887372,46.31051003447048,0.0,0.0,0.0,0.0,1064.0
Gr Liv Area,2930.0,1499.6904436860068,505.5088874720413,334.0,1126.0,1442.0,1742.75,5642.0
Bsmt Full Bath,2928.0,0.43135245901639346,0.5248201879465233,0.0,0.0,0.0,1.0,3.0
Bsmt Half Bath,2928.0,0.061133879781420764,0.2452535662517041,0.0,0.0,0.0,0.0,2.0
Full Bath,2930.0,1.5665529010238908,0.5529406116455409,0.0,1.0,2.0,2.0,4.0
Half Bath,2930.0,0.3795221843003413,0.502629253315152,0.0,0.0,0.0,1.0,2.0
Bedroom AbvGr,2930.0,2.8542662116040955,0.827731141985356,0.0,2.0,3.0,3.0,8.0
Kitchen AbvGr,2930.0,1.0443686006825939,0.21407624439170225,0.0,1.0,1.0,1.0,3.0
TotRms AbvGrd,2930.0,6.443003412969284,1.5729643963344666,2.0,5.0,6.0,7.0,15.0
Fireplaces,2930.0,0.5993174061433447,0.6479209165512236,0.0,0.0,1.0,1.0,4.0
Garage Yr Blt,2771.0,1978.1324431613136,25.52841125092426,1895.0,1960.0,1979.0,2002.0,2207.0
Garage Cars,2929.0,1.7668146124957322,0.7605663649343463,0.0,1.0,2.0,2.0,5.0
Garage Area,2929.0,472.8197336975077,215.04654854103086,0.0,320.0,480.0,576.0,1488.0
Wood Deck SF,2930.0,93.75187713310581,126.36156187890586,0.0,0.0,0.0,168.0,1424.0
Open Porch SF,2930.0,47.53344709897611,67.48340013677269,0.0,0.0,27.0,70.0,742.0
Enclosed Porch,2930.0,23.01160409556314,64.13905920864104,0.0,0.0,0.0,0.0,1012.0
3Ssn Porch,2930.0,2.592491467576792,25.141331031870287,0.0,0.0,0.0,0.0,508.0
Screen Porch,2930.0,16.002047781569967,56.08737022943382,0.0,0.0,0.0,0.0,576.0
Pool Area,2930.0,2.243344709897611,35.59718061509723,0.0,0.0,0.0,0.0,800.0
Misc Val,2930.0,50.63515358361775,566.3442882590872,0.0,0.0,0.0,0.0,17000.0
Mo Sold,2930.0,6.216040955631399,2.71449242543017,1.0,4.0,6.0,8.0,12.0
Yr Sold,2930.0,2007.790443686007,1.316612922610576,2006.0,2007.0,2008.0,2009.0,2010.0
SalePrice,2930.0,180796.0600682594,79886.69235666493,12789.0,129500.0,160000.0,213500.0,755000.0
